"sku","name","category","subcategory","price","compare_price","stock","reserved_stock","status","is_featured","image_url","website_link","material","finish","tags_summary","updated_at","image_1","image_2","image_3","restock_note",""
"802003","Enameled Butterfly Charms with Crystal Accents - Artificial Yellow Gold","Sets","","799","1499","1","0","Enabled","No","https://www.kaapav.com/web/image/product.template/528/image_1920?unique=fab0edd","https://www.kaapav.com/shop/all-jewellery-earring-pendant-sets-23/0802003-enameled-butterfly-charms-with-crystal-accents-artificial-yellow-gold-528","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:22:40","https://www.kaapav.com/web/image/product.template/528/image_1920?unique=fab0edd","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778336284899_0802003 (2).jpg","","","",""
"802001","Enameled Butterfly Pendant and Earrings Set - Artificial Rose Gold","Sets","","799","1499","1","0","Enabled","No","https://www.kaapav.com/web/image/product.template/526/image_1920?unique=860093b","https://www.kaapav.com/shop/all-jewellery-earring-pendant-sets-23/0802001-enameled-butterfly-pendant-and-earrings-set-artificial-rose-gold-526","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:22:40","https://www.kaapav.com/web/image/product.template/526/image_1920?unique=860093b","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778336228143_0802001 (2).jpg","","","",""
"501009","Faux Pearl Halo Stud Earrings with AD Crystals - Artificial Yellow Gold","Earrings","","299","499","2","0","Enabled","No","https://www.kaapav.com/web/image/product.template/570/image_1920?unique=3b9111c","https://www.kaapav.com/shop/all-jewellery-earrings-21/0501009-faux-pearl-halo-stud-earrings-with-ad-crystals-artificial-yellow-gold-570","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:20:44","https://www.kaapav.com/web/image/product.template/570/image_1920?unique=3b9111c","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778330767420_0501009 (2).jpg","","","",""
"501007","Faux Pearl Halo Stud Earrings with Crystal Accents - Artificial Yellow Gold","Earrings","","299","499","2","0","Enabled","No","https://www.kaapav.com/web/image/product.template/568/image_1920?unique=7f471ae","https://www.kaapav.com/shop/all-jewellery-earrings-21/0501007-faux-pearl-halo-stud-earrings-with-crystal-accents-artificial-yellow-gold-568","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:20:44","https://www.kaapav.com/web/image/product.template/568/image_1920?unique=7f471ae","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778330682966_0501007 (2).jpg","","","",""
"501015","Faux Pearl Stud Earrings with Cubic Zirconia Bows - Artificial Yellow Gold","Earrings","","299","499","2","0","Enabled","No","https://www.kaapav.com/web/image/product.template/576/image_1920?unique=d9aac22","https://www.kaapav.com/shop/all-jewellery-earrings-21/0501015-faux-pearl-stud-earrings-with-cubic-zirconia-bows-artificial-yellow-gold-576","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:20:44","https://www.kaapav.com/web/image/product.template/576/image_1920?unique=d9aac22","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778330987495_0501015 (2).jpg","","","",""
"501025","Floral Engraved Hoop Earrings – Artificial Yellow Gold","Earrings","","299","499","2","0","Enabled","No","https://www.kaapav.com/web/image/product.template/629/image_1920?unique=23674ea","https://www.kaapav.com/shop/all-jewellery-earrings-21/0501025-floral-engraved-hoop-earrings-artificial-yellow-gold-629","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:20:44","https://www.kaapav.com/web/image/product.template/629/image_1920?unique=23674ea","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778331282120_0501025 (2).jpg","","","",""
"501018","Floral Pearl Cluster Earrings – Artificial Yellow Gold","Earrings","","299","499","3","0","Enabled","No","https://www.kaapav.com/web/image/product.template/622/image_1920?unique=f2dc702","https://www.kaapav.com/shop/all-jewellery-earrings-21/0501018-floral-pearl-cluster-earrings-artificial-yellow-gold-622","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:20:44","https://www.kaapav.com/web/image/product.template/622/image_1920?unique=f2dc702","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778331055739_0501018 (2).jpg","","","",""
"301002","Four-Leaf Clover Pendant Necklace - Artificial Yellow Gold","Necklaces","","549","999","2","0","Enabled","No","https://www.kaapav.com/web/image/product.template/507/image_1920?unique=7d93848","https://www.kaapav.com/shop/all-jewellery-necklace-19/0301002-four-leaf-clover-pendant-necklace-artificial-yellow-gold-507","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:21:04","https://www.kaapav.com/web/image/product.template/507/image_1920?unique=7d93848","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778331612208_0301002 (2).jpg","","","",""
"802002","Geometric Black and White Crystal Pendant and Earrings Set - Artificial Rose Gold","Sets","","799","1499","2","0","Enabled","No","https://www.kaapav.com/web/image/product.template/527/image_1920?unique=6a38e38","https://www.kaapav.com/shop/all-jewellery-earring-pendant-sets-23/0802002-geometric-black-and-white-crystal-pendant-and-earrings-set-artificial-rose-gold-527","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:22:40","https://www.kaapav.com/web/image/product.template/527/image_1920?unique=6a38e38","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778336253594_0802002 (2).jpg","","","",""
"202021","Geometric Charm Bracelet with MOP & Crystals - Artificial Rose Gold","Bracelets","","549","999","2","0","Enabled","No","https://www.kaapav.com/web/image/product.template/498/image_1920?unique=df9180d","https://www.kaapav.com/shop/all-jewellery-bracelets-13/0202021-geometric-charm-bracelet-with-mop-crystals-artificial-rose-gold-498","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:20:19","https://www.kaapav.com/web/image/product.template/498/image_1920?unique=df9180d","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778328204134_0202021 (3).jpg","","","",""
"802006","Geometric Crystal Pendant and Earrings Set - Artificial Rose Gold","Sets","","799","1499","2","0","Enabled","No","https://www.kaapav.com/web/image/product.template/531/image_1920?unique=5dffb2d","https://www.kaapav.com/shop/all-jewellery-earring-pendant-sets-23/0802006-geometric-crystal-pendant-and-earrings-set-artificial-rose-gold-531","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:22:40","https://www.kaapav.com/web/image/product.template/531/image_1920?unique=5dffb2d","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778336378052_0802006 (2).jpg","","","",""
"501023","Geometric Hexagon Hoop Earrings – Artificial Yellow Gold","Earrings","","299","499","3","0","Enabled","No","https://www.kaapav.com/web/image/product.template/627/image_1920?unique=b00948e","https://www.kaapav.com/shop/all-jewellery-earrings-21/0501023-geometric-hexagon-hoop-earrings-artificial-yellow-gold-627","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:20:44","https://www.kaapav.com/web/image/product.template/627/image_1920?unique=b00948e","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778331226945_0501023 (2).jpg","","","",""
"501016","Green & White Triangle Stud Earrings – Artificial Yellow Gold","Earrings","","299","499","3","0","Enabled","No","https://www.kaapav.com/web/image/product.template/620/image_1920?unique=6946b40","https://www.kaapav.com/shop/all-jewellery-earrings-21/0501016-green-white-triangle-stud-earrings-artificial-yellow-gold-620","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:20:44","https://www.kaapav.com/web/image/product.template/620/image_1920?unique=6946b40","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778331002881_0501016 (2).jpg","","","",""
"701009","Green Cubic Zirconia Ring with Crystal Accents - Artificial Yellow Gold","Rings","","299","499","1","0","Enabled","No","https://www.kaapav.com/web/image/product.template/540/image_1920?unique=efd4046","https://www.kaapav.com/shop/all-jewellery-rings-20/0701009-green-cubic-zirconia-ring-with-crystal-accents-artificial-yellow-gold-540","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:21:45","https://www.kaapav.com/web/image/product.template/540/image_1920?unique=efd4046","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778334868732_0701009 (2).jpg","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778334869250_0701009 (3).jpg","","",""
"202026","Half-Crystal Circle Bolo Bracelet - Artificial Rose Gold","Bracelets","","549","999","2","0","Enabled","No","https://www.kaapav.com/web/image/product.template/503/image_1920?unique=07506e9","https://www.kaapav.com/shop/all-jewellery-bracelets-13/0202026-half-crystal-circle-bolo-bracelet-artificial-rose-gold-503","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:20:19","https://www.kaapav.com/web/image/product.template/503/image_1920?unique=07506e9","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778328475645_0202026 (2).jpg","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778328476419_0202026 (3).jpg","","",""
"202023","Heart & Initial Bolo Bracelet with Crystal Accents - Artificial Rose Gold","Bracelets","","549","999","1","0","Enabled","No","https://www.kaapav.com/web/image/product.template/500/image_1920?unique=585091f","https://www.kaapav.com/shop/all-jewellery-bracelets-13/0202023-heart-initial-bolo-bracelet-with-crystal-accents-artificial-rose-gold-500","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:20:19","https://www.kaapav.com/web/image/product.template/500/image_1920?unique=585091f","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778328323200_0202023 (2).jpg","","","",""
"201011","Heart & Initial Sparkle Bracelet – Artificial Yellow Gold","Bracelets","","549","999","1","0","Enabled","No","https://www.kaapav.com/web/image/product.template/489/image_1920?unique=5b72e4a","https://www.kaapav.com/shop/all-jewellery-bracelets-13/0201011-heart-initial-sparkle-bracelet-artificial-yellow-gold-489","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:20:19","https://www.kaapav.com/web/image/product.template/489/image_1920?unique=5b72e4a","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778326674949_0201011 (2).jpg","","","",""
"302006","Heart Evil Eye Toggle Necklace with Crystal Accent - Artificial Rose Gold","Necklaces","","549","999","2","0","Enabled","No","https://www.kaapav.com/web/image/product.template/511/image_1920?unique=5404c27","https://www.kaapav.com/shop/all-jewellery-necklace-19/0302006-heart-evil-eye-toggle-necklace-with-crystal-accent-artificial-rose-gold-511","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:21:04","https://www.kaapav.com/web/image/product.template/511/image_1920?unique=5404c27","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778331872633_0302006 (2).jpg","","","",""
"302012","Heart Tag Toggle Necklace with Crystal Accents - Artificial Rose Gold","Necklaces","","549","999","1","0","Enabled","No","https://www.kaapav.com/web/image/product.template/517/image_1920?unique=f8ceeca","https://www.kaapav.com/shop/all-jewellery-necklace-19/0302012-heart-tag-toggle-necklace-with-crystal-accents-artificial-rose-gold-517","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:21:04","https://www.kaapav.com/web/image/product.template/517/image_1920?unique=f8ceeca","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778332447453_0302012 (2).jpg","","","",""
"501013","Heart-Shaped Cubic Zirconia Halo Stud Earrings - Artificial Yellow Gold","Earrings","","299","499","2","0","Enabled","No","https://www.kaapav.com/web/image/product.template/574/image_1920?unique=666584a","https://www.kaapav.com/shop/all-jewellery-earrings-21/0501013-heart-shaped-cubic-zirconia-halo-stud-earrings-artificial-yellow-gold-574","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:20:44","https://www.kaapav.com/web/image/product.template/574/image_1920?unique=666584a","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778330883810_0501013 (2).jpg","","","",""
"202016","Iconic Monogram & Flower Bangle - Artificial Rose Gold","Bracelets","","549","999","3","0","Enabled","No","https://www.kaapav.com/web/image/product.template/493/image_1920?unique=d9d30fd","https://www.kaapav.com/shop/all-jewellery-bracelets-13/0202016-iconic-monogram-flower-bangle-artificial-rose-gold-493","Anti-Tarnish Artificial Jewellery","Bestseller","2026-08-02 09:20:19","https://www.kaapav.com/web/image/product.template/493/image_1920?unique=d9d30fd","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778326970719_0202016 (3).jpg","","","",""
"601007","Initial ""G"" Pendant Necklace with Crystal Halo - Artificial Yellow Gold","Pendants","","549","999","2","0","Enabled","No","https://www.kaapav.com/web/image/product.template/560/image_1920?unique=10a8ec9","https://www.kaapav.com/shop/all-jewellery-pendant-22/0601007-initial-g-pendant-necklace-with-crystal-halo-artificial-yellow-gold-560","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:21:26","https://www.kaapav.com/web/image/product.template/560/image_1920?unique=10a8ec9","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778334124913_0601007 (2).jpg","","","",""
"302019","Interlocking Bar Necklace with White Inlay - Artificial Rose Gold","Necklaces","","549","999","2","0","Enabled","No","https://www.kaapav.com/web/image/product.template/524/image_1920?unique=5872a1f","https://www.kaapav.com/shop/all-jewellery-necklace-19/0302019-interlocking-bar-necklace-with-white-inlay-artificial-rose-gold-524","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:21:04","https://www.kaapav.com/web/image/product.template/524/image_1920?unique=5872a1f","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778332762769_0302019 (2).jpg","","","",""
"202022","Intertwined Circles Bolo Bracelet with Crystal Accents - Artificial Rose Gold","Bracelets","","549","999","1","0","Enabled","No","https://www.kaapav.com/web/image/product.template/499/image_1920?unique=2249adb","https://www.kaapav.com/shop/all-jewellery-bracelets-13/0202022-intertwined-circles-bolo-bracelet-with-crystal-accents-artificial-rose-gold-499","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:20:19","https://www.kaapav.com/web/image/product.template/499/image_1920?unique=2249adb","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778328255651_0202022 (2).jpg","","","",""
"601016","Ivory Frame Crystal Pendant – Artificial Yellow Gold","Pendants","","549","999","3","0","Enabled","No","https://www.kaapav.com/web/image/product.template/645/image_1920?unique=6cbf64b","https://www.kaapav.com/shop/all-jewellery-pendant-22/0601016-ivory-frame-crystal-pendant-artificial-yellow-gold-645","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:21:26","https://www.kaapav.com/web/image/product.template/645/image_1920?unique=6cbf64b","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778334317061_0601016 (2).jpg","","","",""
"202020","Layered Butterfly Charm Bracelet - Artificial Rose Gold","Bracelets","","549","999","1","0","Enabled","No","https://www.kaapav.com/web/image/product.template/497/image_1920?unique=e43e0cc","https://www.kaapav.com/shop/all-jewellery-bracelets-13/0202020-layered-butterfly-charm-bracelet-artificial-rose-gold-497","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:20:19","https://www.kaapav.com/web/image/product.template/497/image_1920?unique=e43e0cc","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778328144471_0202020 (3).jpg","","","",""
